"","PlayerYID","fantasy.points","pos","Name","isPG","isSG","isSF","isPF","isC","cost"
"420","willilo022018",1297.05534172058,"SG","Lou Williams",0,1,0,0,0,20
"421","willima022018",957.852146148682,"PF","Marvin Williams",0,0,0,1,0,12
"422","williro042018",540.978096008301,"C","Robert Williams",0,0,0,0,1,1
"423","willitr022018",528.96844959259,"SF","Troy Williams",0,0,1,0,0,3
"424","wilsodj012018",705.323745727539,"PF","D.J. Wilson",0,0,0,1,0,5
"425","winslju012018",1174.58757972717,"SF","Justise Winslow",0,0,1,0,0,20
"426","woodch012018",739.011533737183,"PF","Christian Wood",0,0,0,1,0,6
"427","wrighde012018",922.977418899536,"PG","Delon Wright",1,0,0,0,0,11
"428","yabusgu012018",288.485433578491,"PF","Guerschon Yabusele",0,0,0,1,0,1
"429","youngth012018",1264.94424819946,"PF","Thaddeus Young",0,0,0,1,0,20
